driverId,AUS,BHR  ,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN
44      ,2-p,1    ,1  ,2  ,1-f,1-p,1  ,1-p,5  ,1-f,9-p,1
77      ,1-f,2    ,2-p,1-p,2-p,3  ,4-f,2  ,3  ,2-p,-1 ,8
5       ,4  ,5    ,3  ,3  ,4  ,2  ,2-p,5-f,4  ,16 ,2  ,3
16      ,5  ,3-p-f,5  ,5-f,5  ,-1 ,3  ,3  ,2-p,3  ,-1 ,4
33      ,3  ,4    ,4  ,4  ,3  ,4  ,5  ,4  ,1-f,5  ,1-f,2-p-f
10      ,11 ,8    ,6-f,-1 ,6  ,5-f,8  ,10 ,7  ,4  ,14 ,6
55      ,-1 ,19   ,14 ,7  ,8  ,6  ,11 ,6  ,8  ,6  ,5  ,5
4       ,12 ,6    ,18 ,8  ,-1 ,11 ,-1 ,9  ,6  ,11 ,-1 ,9
26      ,10 ,12   ,-1 ,-1 ,9  ,7  ,10 ,14 ,17 ,9  ,3  ,15
23      ,14 ,9    ,10 ,11 ,11 ,8  ,-1 ,15 ,15 ,12 ,6  ,10
3       ,-1 ,18   ,7  ,-1 ,12 ,9  ,6  ,11 ,12 ,7  ,-1 ,14
27      ,7  ,17   ,-1 ,14 ,13 ,13 ,7  ,8  ,13 ,10 ,-1 ,12
7       ,8  ,7    ,9  ,10 ,14 ,17 ,15 ,7  ,9  ,8  ,12 ,7
99      ,15 ,11   ,15 ,12 ,16 ,19 ,13 ,16 ,10 ,-1 ,13 ,18
18      ,9  ,14   ,16 ,9  ,-1 ,16 ,9  ,13 ,14 ,13 ,4  ,17
11      ,13 ,10   ,8  ,6  ,15 ,12 ,12 ,12 ,11 ,17 ,-1 ,11
20      ,6  ,13   ,13 ,13 ,7  ,14 ,17 ,17 ,19 ,-1 ,8  ,13
8       ,-1 ,-1   ,11 ,-1 ,10 ,10 ,14 ,-1 ,16 ,-1 ,7  ,-1
88      ,17 ,16   ,17 ,16 ,18 ,18 ,18 ,18 ,20 ,15 ,10 ,19
63      ,16 ,15   ,16 ,15 ,17 ,15 ,16 ,19 ,18 ,14 ,11 ,16

